CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Monday 03 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),3,2,5,7,8,10,44,81,121,184,232,266,339,382,335,345,396,329,131,56,2,14,9,7
Bourke Street Mall (South),3,6,1,4,9,5,17,58,82,113,159,243,268,374,295,238,240,185,125,163,112,110,10,7
Melbourne Central,46,31,39,13,8,18,31,73,106,123,174,228,279,249,264,292,307,322,286,112,73,81,58,41
Town Hall (West),13,3,7,5,7,25,62,109,208,219,317,370,405,459,436,421,317,373,215,93,17,18,19,14
Princes Bridge,17,8,10,25,37,60,112,161,241,148,210,203,262,266,247,283,275,305,223,91,41,50,28,22
Flinders Street Station Underpass,5,19,15,6,13,58,107,196,266,141,198,188,268,269,225,243,295,322,228,134,90,54,23,22
Birrarung Marr,N/A,8,1,9,8,13,43,128,114,66,60,95,113,117,88,88,117,185,121,42,6,2,1,2
Webb Bridge,N/A,4,4,N/A,1,11,39,118,134,96,115,131,181,147,102,154,185,278,208,74,1,5,3,1
Southern Cross Station,2,1,N/A,N/A,2,25,33,140,136,85,66,59,101,85,87,89,149,142,54,18,9,12,36,3
Victoria Point,N/A,N/A,N/A,2,N/A,4,14,30,40,33,43,38,38,34,29,34,29,40,43,19,6,N/A,2,2
Waterfront City,3,N/A,N/A,5,N/A,2,18,13,21,20,30,38,47,54,29,43,55,83,64,27,N/A,2,2,2
New Quay,7,1,5,3,4,9,49,81,111,74,119,118,148,145,128,145,192,306,255,96,14,9,7,3
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,N/A,N/A,N/A,N/A,N/A,1,4,5,6,3,5,2,N/A,N/A,N/A,1,1,N/A,1,N/A,N/A,N/A,N/A,N/A
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),15,4,8,8,2,18,31,69,211,177,220,240,312,354,284,235,199,164,89,46,9,17,4,4
Collins Place (South),1,2,2,4,4,17,51,138,213,146,165,175,217,198,154,127,104,149,75,27,14,11,4,3
Collins Place (North),N/A,N/A,1,N/A,1,6,19,51,60,49,51,55,62,62,52,52,68,58,34,11,8,3,2,1
Chinatown-Swanston St (North),6,6,N/A,N/A,N/A,2,5,15,41,49,78,40,158,181,154,122,152,122,124,90,23,21,25,18
Chinatown-Lt Bourke St (South),1,2,2,N/A,N/A,3,7,18,32,32,49,77,48,84,89,71,55,44,54,27,12,8,2,4
Bourke St-Russell St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),45,33,41,33,29,68,154,320,542,423,425,619,606,759,696,839,869,1081,749,428,128,82,89,64
Spencer St-Collins St (South),3,N/A,2,5,6,14,39,73,103,87,97,54,93,78,103,82,97,92,73,34,18,30,19,3
Spencer St-Collins St (North),25,3,10,3,6,55,109,296,331,269,244,251,259,307,305,334,414,379,262,177,72,69,90,40
Melbourne Convention Exhibition Centre,28,31,9,8,3,34,145,254,243,188,144,221,273,245,240,284,332,382,304,100,30,31,31,19
QV Market-Elizabeth St (West),18,9,14,20,20,22,33,57,115,134,158,211,274,246,189,196,169,212,143,88,48,34,32,23
QV Market-Peel St,4,N/A,6,2,1,2,10,24,27,26,28,38,53,39,73,64,49,105,49,38,13,15,5,N/A
The Arts Centre,14,12,11,29,41,48,92,113,172,112,140,130,203,169,186,194,182,231,176,56,22,15,14,12
St Kilda Rd-Alexandra Gardens,1,N/A,N/A,1,1,2,21,51,52,41,60,78,76,62,75,38,80,100,61,23,5,N/A,2,1
Lonsdale St (South),14,2,4,13,5,9,17,34,41,66,81,98,131,116,90,98,126,110,95,71,32,18,21,7
Lygon St (West),14,12,N/A,12,4,14,21,33,37,81,110,111,87,110,114,73,105,80,100,51,29,31,20,27
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,N/A,2,1,N/A,N/A,12,12,31,38,42,32,39,52,45,23,42,39,49,29,9,2,6,3,3
Southbank,3,1,8,10,3,25,102,202,263,216,209,270,384,438,344,282,294,393,362,110,14,6,4,5
Queen St (West),1,N/A,2,5,N/A,12,24,41,95,100,89,95,118,167,115,86,91,101,91,25,10,13,2,8
Lygon St (East),1,N/A,N/A,1,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,54,59,57,41,30,4,3,5,2
Alfred Place,1,N/A,1,2,N/A,3,6,26,43,47,50,39,102,67,50,33,28,23,15,9,N/A,3,2,2
Lonsdale St-Spring St (West),N/A,N/A,N/A,2,N/A,5,15,42,127,80,112,85,124,118,84,80,49,77,44,27,7,2,8,N/A
Grattan St-Swanston St (West),4,N/A,N/A,1,7,6,16,27,39,33,50,41,44,67,59,47,71,62,43,14,4,3,N/A,1
Monash Rd-Swanston St (West),1,N/A,N/A,1,1,4,6,21,36,47,23,27,35,46,36,31,43,63,34,7,N/A,3,N/A,N/A
Tin Alley-Swanston St (West),4,1,N/A,2,N/A,1,3,16,20,28,7,14,20,37,28,24,36,45,29,4,1,1,N/A,N/A
Little Collins St-Swanston St (East),10,2,3,5,N/A,19,24,64,101,133,124,177,202,231,212,197,182,168,97,33,18,15,7,15
Flinders La-Swanston St (West),28,11,8,6,24,98,162,271,425,323,322,351,478,410,412,418,448,506,264,124,64,58,45,46
Pelham St (South),7,N/A,1,N/A,5,4,2,18,36,37,27,31,37,51,56,47,46,39,31,12,4,2,1,N/A
Melbourne Central-Elizabeth St (East),16,11,10,29,12,40,81,103,202,242,297,345,423,406,423,412,432,391,232,170,27,45,54,28
QVM-Queen St (East),3,N/A,2,1,4,10,13,28,36,52,37,79,80,76,89,85,57,97,60,43,15,12,6,5
QVM-Therry St (South),49,41,25,27,23,11,17,28,30,75,75,68,102,77,69,76,73,89,114,89,135,83,60,38
Faraday St-Lygon St (West),N/A,3,2,5,2,6,5,33,62,66,132,121,104,96,91,113,115,64,44,33,15,4,3,1
QVM-Franklin St (North),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth St-Lonsdale St (South),3,N/A,N/A,1,N/A,8,11,39,58,33,82,106,119,135,125,69,96,93,71,27,7,8,2,4
Lincoln-Swanston (W),N/A,N/A,N/A,N/A,N/A,1,4,1,N/A,1,1,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),8,1,3,N/A,3,2,22,22,46,47,70,69,91,121,78,99,98,115,102,42,16,13,4,7
Bourke St Bridge,3,N/A,1,3,2,14,26,89,40,61,69,63,84,73,76,88,79,86,66,23,10,5,3,1
Bourke St - Spencer St (North),13,4,11,3,11,32,77,181,202,132,135,163,166,190,193,188,250,264,136,87,34,38,37,13
RMIT Bld 80 - 445 Swanston Street,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,20,38,47,40,85,88,53,52,47,21,N/A,N/A,N/A,N/A,N/A,N/A
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,2,3,4,N/A,4,8,22,46,75,86,91,95,116,129,122,146,134,136,80,46,10,9,15,5
380 Elizabeth St,17,14,18,28,13,41,92,139,197,255,296,359,442,457,530,574,617,622,548,285,103,48,54,23
La Trobe St (North),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231 Bourke St,10,5,2,4,6,8,10,61,81,94,118,149,184,183,151,149,125,121,114,42,29,26,19,6
Royal Pde - Grattan St,3,N/A,1,2,2,14,27,99,105,93,80,94,86,75,119,90,137,125,67,35,24,13,11,4
Swanston St - City Square,4,2,N/A,1,2,13,39,49,99,89,80,71,76,114,98,92,110,161,86,22,14,8,8,3
State Library - New,8,1,8,2,4,12,19,51,90,125,161,184,265,281,285,345,372,368,208,58,25,17,13,10
Flinders Ln - Degraves St (South),N/A,N/A,N/A,N/A,N/A,N/A,3,59,90,79,67,92,111,122,110,110,128,122,49,15,6,3,N/A,N/A
Flinders Ln - Degraves St (North),N/A,N/A,N/A,N/A,N/A,N/A,1,46,83,83,78,77,114,105,81,48,65,25,0,0,1,0,N/A,N/A
Flinders Ln - Degraves St (Crossing),N/A,N/A,N/A,N/A,N/A,N/A,1,30,120,87,76,82,88,120,79,77,78,59,3,0,0,0,N/A,N/A
Errol Street (East)
Westwood Place
Flinders St - ACMI
Bourke St - Spencer St (South)
Spring St - Flinders St (West)
Macaulay Rd - Bellair St
Harbour Esplanade - Pedestrian Path
Harbour Esplanade - Bike Path
Total,487,301,308,358,353,964,2169,4618,6665,6009,6815,7803,9634,10117,9281,9339,9958,10721,7402,3613,1433,1189,924,582


Average Hourly Pedestrian Counts for Monday over the past 4 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),10,4,4,3,5,13,51,100,163,259,327,442,632,717,738,765,791,665,289,137,77,45,37,19
Bourke Street Mall (South),7,7,4,6,9,9,20,66,107,153,246,330,475,536,495,476,458,304,151,79,58,39,19,12
Melbourne Central,57,41,25,25,16,33,58,96,135,169,223,315,454,508,540,552,583,574,480,324,243,199,128,82
Town Hall (West),26,14,6,10,10,39,80,143,244,304,416,526,660,770,748,779,714,593,390,213,145,112,68,39
Princes Bridge,31,17,11,27,43,71,126,219,312,237,263,294,402,427,435,438,474,492,322,191,147,114,84,41
Flinders Street Station Underpass,20,22,8,6,12,68,161,204,276,211,182,218,268,315,334,343,391,467,329,193,150,131,67,39
Birrarung Marr,7,4,4,3,9,13,53,132,157,90,108,93,122,106,117,130,159,217,130,67,40,19,8,4
Webb Bridge,9,4,4,3,3,19,43,131,154,107,113,145,202,185,169,168,198,244,153,92,52,35,23,11
Southern Cross Station,6,2,3,2,2,25,106,201,224,132,87,106,109,125,136,154,253,239,101,48,35,32,37,8
Victoria Point,2,2,2,N/A,1,3,22,39,48,47,47,46,51,46,39,51,46,51,42,24,24,20,8,4
Waterfront City,2,2,1,2,2,2,9,18,25,22,24,31,44,35,37,34,52,75,67,58,44,34,25,5
New Quay,9,6,4,5,5,7,30,77,113,85,94,122,146,137,135,146,187,254,210,158,120,111,62,17
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,18,9,6,3,10,27,39,65,96,57,59,69,87,108,102,112,91,84,9,6,7,3,2,1
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),5,4,4,10,4,24,38,96,224,242,310,336,451,468,455,397,347,239,146,59,45,36,21,18
Collins Place (South),2,1,3,3,5,24,81,148,225,173,177,193,241,233,176,159,164,176,88,39,28,15,19,5
Collins Place (North),3,2,2,1,1,9,33,101,166,117,114,119,131,138,122,120,145,152,64,28,14,11,12,6
Chinatown-Swanston St (North),15,11,13,6,9,3,17,17,43,59,90,147,202,243,232,239,229,224,211,136,113,75,36,26
Chinatown-Lt Bourke St (South),7,3,8,3,7,3,8,17,38,50,64,83,112,116,105,108,99,79,70,55,46,44,26,19
Bourke St-Russell St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),67,45,51,45,32,97,190,400,641,532,580,692,883,1019,965,1112,1177,1342,1006,644,512,396,219,115
Spencer St-Collins St (South),14,9,6,13,10,22,55,126,150,103,98,98,151,145,113,128,146,176,116,71,52,46,30,21
Spencer St-Collins St (North),38,19,18,12,15,96,224,359,495,384,327,334,431,482,453,501,578,617,399,214,168,165,129,53
Melbourne Convention Exhibition Centre,26,23,4,11,20,42,157,285,298,232,222,271,319,363,369,396,462,490,321,158,101,86,55,41
QV Market-Elizabeth St (West),51,39,36,25,31,29,43,80,194,181,210,231,353,334,288,287,266,268,204,168,137,112,100,66
QV Market-Peel St,5,5,3,3,1,3,10,21,48,55,55,48,63,65,77,75,80,74,63,50,27,21,18,8
The Arts Centre,22,11,11,25,46,55,91,154,215,142,176,193,236,244,233,256,267,315,197,111,73,58,31,22
St Kilda Rd-Alexandra Gardens,4,1,1,1,1,6,23,59,81,59,69,78,92,101,106,106,116,130,77,40,23,12,12,4
Lonsdale St (South),24,8,6,11,4,12,33,46,56,81,103,120,142,163,147,150,188,167,151,123,89,67,40,31
