CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Tuesday 04 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),5,N/A,1,N/A,1,8,62,78,164,181,232,250,338,400,414,427,427,357,133,67,12,12,15,9
Bourke Street Mall (South),8,2,1,5,1,12,21,57,122,110,236,241,246,303,330,281,310,189,93,33,16,15,5,4
Melbourne Central,31,25,23,4,30,23,35,66,98,135,137,159,228,255,299,290,289,298,229,122,61,52,70,27
Town Hall (West),14,12,3,10,6,28,60,154,216,240,286,383,395,465,467,486,431,362,204,82,22,24,24,25
Princes Bridge,29,6,15,21,39,68,106,137,201,188,183,166,156,221,214,237,227,273,156,75,43,44,32,18
Flinders Street Station Underpass,15,20,2,3,14,71,172,166,238,197,204,182,179,204,253,261,328,374,215,82,64,42,15,13
Birrarung Marr,N/A,7,9,1,2,27,56,127,114,73,73,50,24,49,60,103,108,148,57,14,5,3,1,3
Webb Bridge,N/A,N/A,N/A,N/A,N/A,17,48,129,110,99,111,72,51,101,124,124,131,190,96,37,1,5,6,2
Southern Cross Station,3,N/A,2,N/A,3,30,96,109,138,103,74,48,66,62,100,93,145,165,47,26,16,6,41,5
Victoria Point,N/A,2,2,1,1,1,15,37,28,34,51,27,37,61,29,30,36,37,31,9,2,2,1,3
Waterfront City,N/A,2,N/A,N/A,N/A,2,17,15,38,32,26,3,3,22,33,23,41,67,26,7,N/A,N/A,3,2
New Quay,N/A,4,4,N/A,N/A,14,52,82,131,106,92,34,41,85,133,103,174,220,98,24,10,7,8,1
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,N/A,N/A,N/A,1,N/A,N/A,N/A,5,3,4,N/A,4,N/A,1,1,8,N/A,3,N/A,N/A,N/A,1,N/A,N/A
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),1,2,3,7,3,15,57,111,183,231,221,250,333,309,323,328,247,182,89,37,23,21,14,8
Collins Place (South),N/A,N/A,4,3,N/A,33,84,136,190,169,160,131,160,160,161,144,150,137,50,19,18,13,23,N/A
Collins Place (North),1,N/A,N/A,N/A,N/A,5,13,55,64,52,49,47,52,59,57,62,80,58,26,7,2,1,1,1
Chinatown-Swanston St (North),1,4,N/A,2,N/A,9,8,4,44,58,80,103,133,179,165,145,147,171,109,95,39,27,23,17
Chinatown-Lt Bourke St (South),6,2,N/A,N/A,N/A,13,11,9,32,24,50,33,49,58,59,78,54,58,34,24,11,10,1,5
Bourke St-Russell St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),23,12,22,5,23,95,188,303,550,424,480,490,588,743,745,897,957,1105,719,387,176,117,85,45
Spencer St-Collins St (South),5,5,5,7,17,9,43,77,117,81,58,67,74,101,91,86,73,132,61,32,18,10,21,4
