CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Friday 14 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),2,2,1,3,2,7,31,50,69,114,123,99,120,140,200,204,213,214,95,96,19,16,17,11
Bourke Street Mall (South),4,10,N/A,21,1,10,20,39,56,90,99,125,192,163,157,200,212,125,83,33,12,14,16,7
Melbourne Central,11,14,13,20,12,21,37,55,74,87,133,173,246,182,227,241,248,264,240,171,85,72,54,23
Town Hall (West),10,2,5,6,6,27,55,82,135,164,234,258,311,281,249,268,277,267,192,117,36,24,25,14
Princes Bridge,27,19,5,20,41,49,77,107,130,151,153,181,195,144,145,185,227,223,175,127,46,51,49,26
Flinders Street Station Underpass,6,22,5,5,9,56,114,149,140,141,154,157,219,188,201,245,330,293,218,148,70,52,25,18
Birrarung Marr,2,N/A,3,4,N/A,25,57,91,118,86,97,106,108,24,58,103,150,140,89,25,5,2,3,3
Webb Bridge,2,1,3,N/A,N/A,17,36,106,107,126,133,174,114,63,111,162,185,205,101,76,16,10,2,3
Southern Cross Station,4,N/A,N/A,1,1,30,51,54,59,46,34,44,56,46,50,54,67,72,55,45,11,8,17,7
Victoria Point,2,1,1,N/A,N/A,2,15,21,32,21,15,42,47,27,22,28,34,54,55,27,13,4,11,1
Waterfront City,3,N/A,N/A,N/A,N/A,3,5,9,30,20,42,39,30,7,20,33,79,55,43,48,4,N/A,N/A,N/A
New Quay,3,N/A,N/A,1,2,11,21,64,108,110,146,180,103,60,105,171,254,231,209,187,28,5,10,2
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),4,2,2,9,1,16,14,47,84,101,144,175,160,141,155,136,134,116,59,60,17,9,12,2
Collins Place (South),1,1,N/A,3,1,19,77,78,108,135,103,116,131,107,84,74,82,99,55,34,14,25,18,N/A
Collins Place (North),N/A,N/A,N/A,N/A,1,4,24,30,34,53,20,25,32,34,28,43,41,26,21,10,4,1,2,N/A
Chinatown-Swanston St (North),5,7,5,5,4,11,6,10,32,74,71,124,112,130,125,98,119,133,134,90,46,41,32,14
Chinatown-Lt Bourke St (South),4,5,1,1,1,2,7,19,28,26,42,64,43,34,42,61,49,51,61,32,9,9,7,3
Bourke St-Russell St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,147,166,134,146,69,16,17,7,4
Flinders St-Elizabeth St (East),44,7,25,50,14,81,178,247,342,318,430,460,639,550,592,705,819,831,702,516,170,110,84,71
Spencer St-Collins St (South),3,1,8,3,1,12,35,44,63,67,49,55,54,68,51,53,64,74,69,38,68,19,11,11
Spencer St-Collins St (North),35,12,17,2,16,72,148,209,230,164,180,190,262,310,268,322,331,306,238,195,98,84,76,38
Melbourne Convention Exhibition Centre,16,13,10,6,19,31,132,197,185,217,184,239,226,105,167,254,316,306,190,122,37,33,28,15
QV Market-Elizabeth St (West),29,17,9,20,32,44,74,101,159,230,289,377,436,285,384,306,233,152,178,167,77,35,31,29
QV Market-Peel St,1,N/A,1,N/A,6,N/A,18,35,52,44,65,111,110,102,51,58,39,66,46,32,9,22,7,5
The Arts Centre,21,13,5,22,64,37,56,68,110,70,156,161,134,119,103,139,173,184,154,108,38,21,28,23
St Kilda Rd-Alexandra Gardens,N/A,N/A,1,N/A,N/A,3,29,35,57,62,48,72,60,29,46,68,93,93,48,29,3,4,3,1
Lonsdale St (South),6,2,2,1,N/A,16,20,37,23,42,61,83,105,107,92,92,111,103,123,69,30,16,24,16
Lygon St (West),30,12,4,6,6,23,24,34,36,59,73,70,79,56,76,118,99,109,97,70,37,57,25,38
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,N/A,1,N/A,N/A,1,5,16,22,39,24,29,34,37,12,14,21,32,17,23,23,2,8,N/A,N/A
Southbank,6,3,1,2,2,16,84,183,192,174,221,248,211,91,108,205,331,297,254,143,18,12,16,6
Queen St (West),3,2,2,2,N/A,7,19,41,60,55,63,63,52,59,46,58,58,64,50,11,16,10,7,4
Lygon St (East),1,N/A,N/A,8,1,9,10,8,27,41,49,53,50,43,53,86,61,67,61,35,6,4,1,4
Alfred Place,N/A,N/A,1,N/A,5,4,9,18,24,28,12,12,36,25,21,19,17,6,11,7,4,1,N/A,1
Lonsdale St-Spring St (West),1,2,N/A,N/A,1,10,16,31,44,48,38,57,50,52,48,68,59,52,54,35,9,3,9,17
Grattan St-Swanston St (West),1,N/A,N/A,N/A,3,2,22,22,29,26,37,52,32,46,53,50,51,50,25,25,4,6,3,1
Monash Rd-Swanston St (West),N/A,N/A,N/A,N/A,N/A,2,12,20,31,23,29,28,19,18,29,38,37,37,24,24,2,5,1,N/A
Tin Alley-Swanston St (West),2,N/A,1,2,N/A,1,11,18,18,24,18,18,9,12,24,29,29,24,18,16,1,1,N/A,1
Little Collins St-Swanston St (East),7,5,1,7,1,14,23,53,61,77,126,111,116,133,129,130,133,99,86,60,22,20,10,21
Flinders La-Swanston St (West),20,13,10,8,12,81,171,204,311,223,307,248,314,347,285,303,404,396,212,142,95,67,67,72
Pelham St (South),3,N/A,N/A,N/A,2,3,5,9,30,24,16,38,34,33,19,25,37,47,31,26,8,1,2,4
