CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Thursday 20 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),39,4,2,N/A,N/A,4,38,58,54,75,138,156,180,155,213,198,203,143,120,82,12,20,8,6
Bourke Street Mall (South),3,N/A,1,1,7,7,17,45,58,95,99,135,193,186,210,175,192,114,74,43,14,14,7,5
Melbourne Central,11,4,3,6,4,14,40,43,74,98,124,164,234,306,281,281,229,256,196,199,82,62,51,16
Town Hall (West),10,1,4,3,8,22,64,78,129,174,214,257,263,307,346,275,310,226,185,98,37,37,26,15
Princes Bridge,12,5,13,41,32,53,86,124,166,157,181,203,212,210,249,251,209,190,233,133,51,46,39,22
Flinders Street Station Underpass,8,21,1,1,5,60,126,210,239,160,248,224,203,282,338,339,334,295,263,205,63,65,20,18
Birrarung Marr,1,5,N/A,3,5,15,60,124,142,122,110,105,113,136,114,125,139,151,132,60,8,3,1,4
Webb Bridge,1,N/A,N/A,1,2,11,35,94,114,117,140,136,156,168,155,149,108,157,172,119,5,2,2,2
Southern Cross Station,1,N/A,2,N/A,2,15,45,64,62,50,40,51,76,71,56,61,68,51,47,35,13,11,21,8
Victoria Point,N/A,2,1,1,2,4,9,22,36,36,25,35,31,29,39,44,38,29,63,33,4,2,5,2
Waterfront City,N/A,N/A,N/A,1,5,1,8,30,30,58,42,32,58,61,64,72,33,50,68,80,11,3,2,1
New Quay,3,1,2,1,2,4,31,107,119,146,145,134,203,185,202,183,145,219,325,251,30,14,11,13
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,2,1,N/A,N/A,4,28,62,84,103,102,91,70,113,112,117,117,100,126,126,74,18,17,12,12
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),16,N/A,1,9,3,11,23,61,75,111,93,118,118,173,174,152,117,90,50,39,6,11,7,3
Collins Place (South),1,N/A,N/A,N/A,2,18,56,90,131,139,136,163,161,169,117,102,90,100,57,32,21,8,5,N/A
Collins Place (North),2,N/A,N/A,1,N/A,3,15,11,10,24,17,32,44,40,25,29,38,27,21,6,8,N/A,N/A,N/A
Chinatown-Swanston St (North),10,5,3,2,1,9,8,13,27,29,43,82,99,100,130,135,132,136,136,115,66,42,14,20
Chinatown-Lt Bourke St (South),3,N/A,N/A,N/A,1,2,14,16,30,26,43,65,83,63,63,61,55,44,43,29,8,15,2,3
Bourke St-Russell St (West),11,4,7,3,12,22,17,33,56,90,112,127,181,155,163,174,158,177,141,62,12,16,20,25
Flinders St-Elizabeth St (East),13,13,12,5,28,58,135,298,314,342,437,568,626,684,669,775,847,782,740,481,154,83,76,77
Spencer St-Collins St (South),6,3,1,5,1,19,29,43,56,59,58,50,64,84,69,39,78,83,55,55,31,20,10,4
Spencer St-Collins St (North),6,3,4,1,11,72,162,199,192,189,148,234,242,255,259,342,314,286,249,188,68,45,81,28
Melbourne Convention Exhibition Centre,16,17,15,31,20,32,126,228,375,302,276,217,301,342,289,287,299,316,335,211,32,14,34,16
QV Market-Elizabeth St (West),27,12,15,33,33,59,63,144,190,253,280,359,487,471,367,225,169,196,172,157,50,54,28,23
QV Market-Peel St,2,2,7,1,1,6,13,22,70,43,95,98,97,110,91,68,75,68,65,60,14,7,7,3
The Arts Centre,13,4,14,26,35,40,67,117,118,111,138,158,164,171,169,160,145,189,204,92,41,27,17,14
St Kilda Rd-Alexandra Gardens,2,N/A,N/A,1,N/A,N/A,26,52,72,58,76,75,66,63,59,57,86,58,84,37,5,2,3,N/A
Lonsdale St (South),3,1,5,2,4,11,31,34,36,47,60,60,90,102,99,114,113,107,77,67,34,17,14,8
Lygon St (West),21,14,10,16,2,15,32,32,56,64,73,91,106,124,91,89,121,170,123,77,45,38,34,28
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,N/A,N/A,5,1,N/A,7,11,34,25,43,44,36,31,44,34,32,40,40,40,11,2,5,N/A,N/A
Southbank,2,4,N/A,1,1,22,77,194,264,215,241,277,299,357,286,299,299,327,372,193,25,14,2,3
Queen St (West),N/A,N/A,1,5,2,8,17,27,54,64,71,55,85,83,70,63,39,50,23,21,5,8,3,3
Lygon St (East),N/A,N/A,2,4,N/A,7,8,9,27,58,62,78,73,64,90,80,65,41,34,18,1,2,3,1
Alfred Place,N/A,N/A,1,5,1,2,18,19,22,33,25,27,38,39,26,22,18,11,4,11,1,N/A,1,1
Lonsdale St-Spring St (West),N/A,N/A,N/A,N/A,5,8,19,48,52,72,70,51,84,94,64,74,75,73,45,40,4,2,11,15
