CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Sunday 23 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),3,21,1,N/A,N/A,3,8,12,37,39,68,106,108,167,236,184,194,183,98,46,23,35,11,5
Bourke Street Mall (South),6,2,7,2,4,3,6,17,24,42,44,112,117,126,170,168,139,107,57,31,12,16,9,5
Melbourne Central,15,18,10,13,8,13,24,24,37,47,77,140,224,273,341,310,329,280,221,174,59,55,43,16
Town Hall (West),3,8,7,10,7,16,43,29,48,58,109,152,199,244,305,295,223,220,111,75,17,18,23,9
Princes Bridge,11,15,12,16,13,26,43,33,34,60,74,109,145,211,278,307,273,238,165,75,32,35,31,20
Flinders Street Station Underpass,5,1,1,2,5,24,28,31,95,82,135,156,192,236,325,277,253,217,174,157,129,235,21,7
Birrarung Marr,N/A,5,N/A,6,7,4,4,9,26,27,34,70,96,193,246,301,298,185,81,50,1,8,4,1
Webb Bridge,2,1,1,N/A,1,3,4,10,20,37,55,113,98,224,242,282,237,183,132,70,6,1,N/A,1
Southern Cross Station,1,N/A,1,N/A,1,2,7,5,9,12,11,21,30,35,42,40,68,41,37,19,4,2,7,7
Victoria Point,1,3,N/A,N/A,1,3,4,5,8,20,34,35,36,55,46,40,31,38,35,34,9,11,4,2
Waterfront City,N/A,N/A,1,1,N/A,N/A,1,N/A,4,11,7,10,21,40,56,72,82,86,78,51,N/A,2,1,N/A
New Quay,5,2,2,1,N/A,2,N/A,8,12,33,32,66,115,189,262,280,328,308,306,184,10,5,6,2
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,1,N/A,3,19,1,15,20,20,23,24,43,48,61,113,168,148,173,105,69,40,12,4,15,5
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),3,3,2,3,12,2,4,9,13,14,44,48,83,81,89,118,80,79,47,26,6,2,10,3
Collins Place (South),1,5,2,2,1,6,11,20,33,32,63,58,62,74,99,125,84,78,56,13,16,6,3,5
Collins Place (North),1,N/A,N/A,4,N/A,N/A,1,2,1,4,6,3,10,11,22,16,13,14,7,5,1,N/A,2,N/A
Chinatown-Swanston St (North),19,13,6,N/A,6,9,6,8,5,18,33,60,97,125,142,124,138,111,122,87,50,38,16,13
Chinatown-Lt Bourke St (South),1,2,N/A,1,2,2,2,7,10,11,16,46,46,57,65,47,60,50,46,31,12,14,7,12
Bourke St-Russell St (West),10,7,2,2,1,11,6,13,19,18,49,73,91,165,197,175,213,160,163,74,20,10,20,16
Flinders St-Elizabeth St (East),52,52,32,9,26,50,82,127,163,171,265,296,404,633,715,727,684,690,647,373,114,128,101,40
Spencer St-Collins St (South),1,7,2,N/A,1,9,3,11,12,6,19,21,34,48,55,57,42,53,46,35,10,13,10,2
Spencer St-Collins St (North),14,4,52,3,10,21,47,93,69,75,75,131,144,169,150,189,179,197,143,102,55,36,43,17
Melbourne Convention Exhibition Centre,7,7,4,6,7,6,26,20,32,86,84,159,204,345,436,481,440,339,233,98,19,7,16,4
QV Market-Elizabeth St (West),20,12,6,6,10,31,21,61,87,136,214,393,438,548,571,518,274,156,194,145,34,41,17,16
QV Market-Peel St,5,5,2,N/A,2,1,19,18,26,72,94,127,135,191,154,150,86,73,74,40,5,6,4,4
The Arts Centre,12,20,8,21,11,28,40,31,32,27,74,85,113,155,207,218,198,166,104,40,26,20,17,11
St Kilda Rd-Alexandra Gardens,N/A,1,1,N/A,1,2,5,2,9,12,19,46,50,123,131,162,170,109,66,20,N/A,4,N/A,N/A
Lonsdale St (South),3,5,5,N/A,3,8,14,19,25,40,46,54,66,117,111,123,101,86,77,56,22,11,10,10
Lygon St (West),15,13,N/A,N/A,13,3,1,18,10,31,43,54,100,100,103,118,98,106,102,54,46,51,19,14
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,N/A,N/A,N/A,N/A,1,3,5,2,4,12,11,17,37,55,57,60,54,49,20,8,1,N/A,N/A,N/A
Southbank,2,4,5,N/A,N/A,7,10,21,19,42,58,127,172,338,436,433,358,318,197,76,9,5,6,2
Queen St (West),1,N/A,N/A,N/A,N/A,7,3,13,2,9,15,34,31,35,40,38,36,46,16,10,8,2,4,4
Lygon St (East),1,N/A,N/A,1,5,2,5,10,7,30,29,46,66,66,70,85,64,46,60,27,8,9,N/A,N/A
Alfred Place,N/A,2,2,N/A,1,1,3,2,4,4,7,1,9,3,10,5,2,1,3,2,N/A,N/A,N/A,3
Lonsdale St-Spring St (West),3,N/A,N/A,N/A,N/A,4,3,27,37,33,21,40,48,85,80,111,71,60,42,23,9,5,20,1
