CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Wednesday 26 August 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),9,6,N/A,1,7,12,32,55,82,76,87,113,195,193,204,228,233,206,115,87,29,14,17,9
Bourke Street Mall (South),2,3,N/A,2,3,9,13,26,58,79,128,138,193,183,199,167,188,137,70,34,11,8,10,N/A
Melbourne Central,23,39,22,9,9,22,53,51,96,115,144,179,256,277,239,303,306,277,304,157,65,46,72,30
Town Hall (West),4,4,4,4,9,27,60,92,133,159,206,215,294,342,332,351,297,301,228,100,29,27,22,9
Princes Bridge,25,8,14,31,39,54,102,108,140,124,157,177,232,179,240,262,306,291,273,110,39,45,26,32
Flinders Street Station Underpass,2,22,3,5,6,52,146,144,133,124,133,149,244,271,278,281,325,364,323,175,43,46,28,13
Birrarung Marr,7,4,5,3,1,27,48,134,125,108,113,106,125,143,167,180,280,325,170,79,9,2,4,14
Webb Bridge,N/A,N/A,N/A,N/A,1,13,45,122,111,90,118,114,172,192,193,206,287,343,264,124,15,2,4,3
Southern Cross Station,2,N/A,N/A,1,5,13,45,51,57,37,33,36,73,55,51,68,76,93,63,33,11,11,22,3
Victoria Point,2,2,N/A,1,3,2,11,21,43,48,49,37,42,45,36,27,38,58,46,33,5,4,2,3
Waterfront City,1,N/A,1,N/A,5,6,17,42,41,36,42,57,70,89,55,76,122,148,126,86,2,1,1,N/A
New Quay,2,2,2,2,5,9,46,116,148,143,149,181,249,234,235,247,328,496,427,275,29,12,7,2
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,1,3,7,5,3,32,66,111,111,85,74,73,137,114,114,147,191,174,152,70,17,16,14,5
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),7,1,1,9,4,17,27,37,96,101,139,119,163,152,159,160,116,102,74,29,12,9,13,7
Collins Place (South),1,N/A,N/A,N/A,3,29,75,106,138,140,134,145,192,158,140,138,140,122,72,35,20,20,13,3
Collins Place (North),2,1,N/A,1,1,2,15,33,33,33,35,44,31,46,42,45,31,37,20,9,5,1,2,1
Chinatown-Swanston St (North),12,4,N/A,N/A,6,9,5,17,34,37,52,67,103,111,90,125,126,136,120,89,34,37,27,21
Chinatown-Lt Bourke St (South),1,3,N/A,1,2,7,12,16,28,25,42,39,67,68,59,63,43,55,45,43,10,3,5,2
Bourke St-Russell St (West),10,2,N/A,3,6,23,21,25,38,75,81,86,159,155,138,171,195,181,157,57,17,9,17,9
Flinders St-Elizabeth St (East),17,19,7,27,17,73,171,258,375,376,374,447,623,706,758,824,991,921,871,643,160,96,93,61
Spencer St-Collins St (South),5,2,3,1,3,7,29,44,82,47,44,71,54,64,68,85,95,92,55,50,21,12,14,3
Spencer St-Collins St (North),14,2,2,2,15,61,129,184,221,144,156,165,239,246,254,261,296,319,264,134,95,65,70,20
Melbourne Convention Exhibition Centre,2,12,11,5,24,40,168,250,242,194,167,241,269,285,326,405,595,551,459,195,40,22,23,27
QV Market-Elizabeth St (West),22,10,17,14,24,28,59,87,119,147,196,281,310,288,218,181,203,172,177,164,62,64,34,21
