CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Saturday 31 August 2019
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),284,146,100,96,34,49,74,160,385,867,1568,2606,3357,3643,4186,4032,3965,3668,2899,1950,1157,717,712,404
Bourke Street Mall (South),146,155,105,91,48,120,71,135,309,807,1168,1876,2352,2513,2830,3017,2804,2331,1406,799,565,397,394,216
Melbourne Central,852,415,328,249,143,133,49,156,305,617,934,1320,2015,2511,2671,2618,2626,2973,2695,2923,2645,2308,1898,1499
Town Hall (West),854,404,207,135,99,85,113,296,495,1123,1641,2374,3117,3507,3906,3712,3547,3394,2765,2338,2058,2116,1204,944
Princes Bridge,723,305,196,143,158,213,402,731,1156,1662,2249,2850,3430,3636,3861,3777,3914,4005,3653,3104,2217,2344,1987,1411
Flinders Street Station Underpass,601,334,219,109,78,101,197,408,571,870,979,1422,1537,1811,2148,2170,2005,1970,1761,1536,1266,1144,1026,730
Birrarung Marr,18,6,16,2,2,13,41,90,153,269,323,309,317,416,435,464,486,525,179,88,149,62,48,29
Webb Bridge,47,17,7,1,2,13,48,85,152,184,233,250,273,271,334,302,328,278,212,118,91,73,87,29
Southern Cross Station,33,18,20,10,6,15,41,46,74,103,134,173,103,138,139,128,144,116,123,76,65,79,43,61
Victoria Point,11,6,6,3,2,11,17,40,62,110,151,129,93,124,92,121,135,99,102,91,69,62,28,56
Waterfront City,16,3,4,1,N/A,1,7,27,52,53,72,71,98,106,125,146,117,108,90,68,86,78,31,24
New Quay,48,15,10,4,1,9,24,65,133,225,253,297,347,400,442,416,419,437,444,336,290,241,144,102
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,277,167,100,63,53,55,83,140,213,381,415,524,617,699,766,764,754,712,742,515,483,384,416,319
State Library,277,199,99,44,33,69,55,94,182,350,566,909,1393,1744,1964,2104,1991,2198,1866,1962,1513,1311,877,610
Collins St (North),155,83,65,25,38,33,47,223,317,609,915,1185,1392,1450,1563,1539,1387,1082,717,540,434,395,363,247
Collins Place (South),67,19,14,9,13,23,66,86,105,181,210,250,291,309,351,349,357,381,348,293,188,164,177,106
Collins Place (North),32,13,9,6,6,12,19,29,47,90,147,158,203,231,223,176,124,125,138,80,100,74,74,63
Chinatown-Swanston St (North),263,200,119,62,51,17,20,49,61,141,308,647,1031,1283,1092,1138,1110,1378,1543,1582,1219,1035,732,530
Chinatown-Lt Bourke St (South),286,169,152,73,37,33,47,76,90,145,341,698,983,1254,849,854,1047,1223,1583,1758,1332,1100,483,119
Bourke St-Russell St (West),679,542,272,333,195,152,103,108,140,310,538,816,1009,1286,1385,1279,1407,1519,1626,1483,1489,1211,1258,463
Flinders St-Elizabeth St (East),718,547,411,229,208,231,350,611,1075,1783,1994,2468,2820,3274,3629,3753,3572,3477,3137,2650,2326,2018,1662,1402
Spencer St-Collins St (South),117,69,31,20,26,33,69,63,159,202,232,302,244,240,306,318,301,332,312,241,191,235,166,167
Spencer St-Collins St (North),389,200,81,85,60,113,328,585,941,1164,1406,1490,1475,1395,1631,1521,1651,1553,1393,1004,753,622,680,564
Melbourne Convention Exhibition Centre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QV Market-Elizabeth St (West),186,180,104,67,81,79,112,203,440,866,1231,1684,1799,1930,1769,1376,911,764,703,674,615,485,366,263
QV Market-Peel St,32,41,15,7,9,13,23,60,143,296,360,491,532,580,537,437,291,260,210,126,163,92,88,82
The Arts Centre,638,291,198,233,365,496,616,922,1376,2024,2426,3115,3307,3485,3507,3519,3433,3609,3426,3194,1468,2061,1799,1143
St Kilda Rd-Alexandra Gardens,92,33,20,8,13,34,64,127,191,440,525,834,1011,1225,1242,1470,1161,1104,529,407,354,262,279,157
Lonsdale St (South),531,430,321,224,124,110,125,125,161,262,377,514,780,1134,826,1015,1059,1279,1403,1482,1369,1121,1411,1160
Lygon St (West),189,85,24,23,23,11,31,47,74,145,219,269,345,389,447,463,420,520,628,742,818,906,696,456
City Square
Flinders St-Spring St (West),32,8,13,6,7,14,33,46,60,119,145,147,112,157,147,178,121,154,147,108,82,60,84,38
Flinders St-Spark La,35,19,11,8,13,22,48,30,85,115,112,173,163,231,210,221,207,211,220,122,94,82,100,60
Southbank,327,139,104,24,31,46,140,384,597,888,1134,1527,1768,2064,2530,2569,2538,2265,2203,2064,1690,1466,1108,776
Queen St (West),339,335,304,108,84,22,28,70,212,168,200,188,289,238,245,227,304,249,263,327,417,469,472,483
Lygon St (East),29,28,15,5,12,18,4,16,62,68,134,190,220,260,277,245,231,365,381,473,528,446,346,184
Alfred Place,35,10,14,10,12,10,15,45,111,136,168,144,192,161,190,202,149,184,137,156,102,121,94,80
Lonsdale St-Spring St (West),44,28,18,10,5,12,33,53,112,180,266,341,423,580,331,357,460,372,321,268,192,150,333,147
Grattan St-Swanston St (West),48,10,5,7,5,8,25,42,44,125,136,157,213,270,228,201,197,250,169,179,117,108,78,78
Monash Rd-Swanston St (West),8,8,5,1,3,4,8,36,62,111,122,181,167,164,193,196,199,259,170,156,119,92,86,69
Tin Alley-Swanston St (West),8,9,2,1,4,2,8,29,46,107,118,122,108,130,156,151,104,170,82,75,54,49,50,19
Little Collins St-Swanston St (East),398,267,161,71,63,67,84,167,309,495,721,1111,1632,2146,2405,2321,2260,2233,1816,1678,1549,1317,1043,715
Flinders La-Swanston St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
