Sensor,latitude,longitude
Bourke Street Mall (North),-37.81340998,144.9652253
Bourke Street Mall (South),-37.81372266,144.96515
Melbourne Central,-37.81018489,144.9628006
Town Hall (West),-37.8149526,144.9661936
Princes Bridge,-37.81881889,144.9679943
Flinders Street Station Underpass,-37.81905048,144.966093
Birrarung Marr,-37.81891818,144.9738068
Webb Bridge,-37.82327804,144.9473113
Southern Cross Station,-37.81992825,144.9509522
Victoria Point,-37.8188366,144.9470711
Waterfront City,-37.81569887,144.9399569
New Quay,-37.81456127,144.9430387
Flagstaff Station,-37.81233505,144.956559
Sandridge Bridge,-37.81995709,144.9630515
State Library,-37.81059897,144.9643227
Collins St (North),-37.8157681,144.9655409
Collins Place (South),-37.81362871,144.9731826
Collins Place (North),-37.81360099,144.9727998
Chinatown-Swanston St (North),-37.81239626,144.9656361
Chinatown-Lt Bourke St (South),-37.81165232,144.9682634
Bourke St-Russell St (West),-37.81246256,144.9678603
Flinders St-Elizabeth St (East),-37.81806306,144.9650126
Spencer St-Collins St (South),-37.8191407,144.9543435
Spencer St-Collins St (North),-37.81896291,144.9542069
Melbourne Convention Exhibition Centre,-37.82372288,144.9561615
QV Market-Elizabeth St (West),-37.80847269,144.9604394
QV Market-Peel St,-37.8059662,144.9564073
The Arts Centre,-37.82006672,144.9683251
St Kilda Rd-Alexandra Gardens,-37.8197438,144.9687098
Lonsdale St (South),-37.81111787,144.9664575
Lygon St (West),-37.80161831,144.9667077
City Square,-37.8158781,144.966749
Flinders St-Spring St (West),-37.81483963,144.9745721
Flinders St-Spark La,-37.81537761,144.9741766
Southbank,-37.82020767,144.9650458
Queen St (West),-37.81658884,144.9613324
Lygon St (East),-37.80310464,144.9665977
Alfred Place,-37.81383901,144.9699714
Lonsdale St-Spring St (West),-37.81005626,144.9723458
Grattan St-Swanston St (West),-37.80031193,144.963879
Monash Rd-Swanston St (West),-37.79851002,144.9642025
Tin Alley-Swanston St (West),-37.79682089,144.9645089
Little Collins St-Swanston St (East),-37.81442768,144.9661167
Flinders La-Swanston St (West),-37.81634098,144.9669241
Pelham St (South),-37.80230453,144.9616265
Melbourne Central-Elizabeth St (East),-37.81142356,144.9619502
QVM-Queen St (East),-37.80620279,144.9585479
QVM-Therry St (South),-37.80719447,144.9594763
Faraday St-Lygon St (West),-37.79802328,144.9672885
QVM-Franklin St (North),-37.80851545,144.9589066
Elizabeth St-Lonsdale St (South),-37.81243529,144.9618872
Lincoln-Swanston (W),-37.80407319,144.963261
Elizabeth St-La Trobe St (East),-37.81018903,144.9613806
Lonsdale St - Elizabeth St (North),-37.81241939,144.9614843
Bourke St Bridge,-37.81769633,144.9502168
Bourke St - Spencer St (North),-37.81697785,144.9534808
RMIT Bld 80 - 445 Swanston Street,-37.8080258,144.9629546
Flinders La-Swanston St (West) Temporary,-37.81653111,144.9669453
RMIT Building 14,-37.80737317,144.9632461
380 Elizabeth St,-37.80961321,144.9615709
La Trobe St (North),-37.81011379,144.9620237
231 Bourke St,-37.81333975,144.9668472
Royal Pde - Grattan St,-37.79962918,144.9573212
Swanston St - City Square,-37.81551888,144.9665912
State Library - New,-37.81058889,144.9643339
Flinders Ln - Degraves St (South),-37.81690024,144.9655893
Flinders Ln - Degraves St (North),-37.8168425,144.9657059
Flinders Ln - Degraves St (Crossing),-37.81685097,144.965651
Errol Street (East),-37.80442398,144.9493677
Westwood Place,-37.81232775,144.9713299
Flinders St - ACMI,-37.81748768,144.9690819
Bourke St - Spencer St (South),-37.81685564,144.9540693
Spring St - Flinders St (West),-37.8152105,144.9747772
Macaulay Rd - Bellair St,-37.79426811,144.9304927
Harbour Esplanade - Pedestrian Path,-37.81428483,144.9442805
Harbour Esplanade - Bike Path,-37.81488338,144.944532
