,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,data_date
0,Bourke Street Mall (North),88.0,34.0,22.0,7.0,10.0,36.0,111.0,330.0,864.0,954.0,1248.0,1899.0,3178.0,3570.0,2943.0,2903.0,3041.0,3683.0,3013.0,2001.0,1508.0,795.0,420.0,183.0,01-08-2019
1,Bourke Street Mall (South),24.0,6.0,12.0,9.0,2.0,7.0,67.0,192.0,512.0,610.0,812.0,1138.0,2254.0,2457.0,1765.0,1744.0,1687.0,1765.0,1353.0,753.0,607.0,289.0,103.0,6.0,01-08-2019
2,Melbourne Central,241.0,143.0,73.0,35.0,34.0,108.0,163.0,332.0,808.0,793.0,1046.0,1400.0,2357.0,2332.0,2243.0,2137.0,2521.0,2977.0,2965.0,2174.0,2046.0,1762.0,1142.0,570.0,01-08-2019
3,Town Hall (West),97.0,42.0,30.0,15.0,32.0,77.0,192.0,489.0,1077.0,1121.0,1629.0,1922.0,2874.0,3398.0,2715.0,2683.0,2782.0,3326.0,2769.0,1802.0,1332.0,1096.0,593.0,322.0,01-08-2019
4,Princes Bridge,112.0,43.0,16.0,29.0,63.0,116.0,385.0,944.0,2046.0,1444.0,1151.0,1373.0,1753.0,2011.0,1763.0,1942.0,2223.0,3195.0,2143.0,1338.0,1026.0,886.0,772.0,334.0,01-08-2019
5,Flinders Street Station Underpass,189.0,64.0,29.0,26.0,46.0,239.0,1045.0,1929.0,4059.0,2369.0,1179.0,1295.0,2055.0,2263.0,1782.0,2200.0,3070.0,5026.0,2883.0,1666.0,1129.0,1058.0,787.0,488.0,01-08-2019
6,Birrarung Marr,5.0,,6.0,1.0,3.0,33.0,123.0,383.0,575.0,288.0,349.0,140.0,341.0,353.0,200.0,172.0,283.0,538.0,349.0,174.0,90.0,56.0,24.0,23.0,01-08-2019
7,Webb Bridge,6.0,5.0,5.0,2.0,4.0,35.0,96.0,350.0,522.0,319.0,180.0,197.0,626.0,631.0,311.0,317.0,406.0,645.0,391.0,178.0,115.0,76.0,47.0,26.0,01-08-2019
8,Southern Cross Station,16.0,5.0,3.0,6.0,9.0,91.0,543.0,2317.0,4169.0,2887.0,907.0,885.0,1534.0,1355.0,940.0,1402.0,3152.0,4330.0,1900.0,618.0,319.0,136.0,129.0,71.0,01-08-2019
9,Victoria Point,5.0,4.0,1.0,2.0,8.0,21.0,92.0,381.0,659.0,500.0,305.0,278.0,536.0,518.0,274.0,377.0,660.0,858.0,394.0,180.0,103.0,81.0,47.0,17.0,01-08-2019
10,Waterfront City,3.0,1.0,1.0,,1.0,,17.0,45.0,79.0,54.0,15.0,27.0,96.0,89.0,71.0,56.0,77.0,101.0,65.0,61.0,63.0,57.0,35.0,12.0,01-08-2019
