,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
0,Bourke Street Mall (North),88,34,22,7,10,36,111,330,864,954,1248,1899,3178,3570,2943,2903,3041,3683,3013,2001,1508,795,420,183,32841,1368.375,1/08/2019
1,Bourke Street Mall (South),24,6,12,9,2,7,67,192,512,610,812,1138,2254,2457,1765,1744,1687,1765,1353,753,607,289,103,6,18174,757.25,1/08/2019
2,Melbourne Central,241,143,73,35,34,108,163,332,808,793,1046,1400,2357,2332,2243,2137,2521,2977,2965,2174,2046,1762,1142,570,30402,1266.75,1/08/2019
3,Town Hall (West),97,42,30,15,32,77,192,489,1077,1121,1629,1922,2874,3398,2715,2683,2782,3326,2769,1802,1332,1096,593,322,32415,1350.625,1/08/2019
4,Princes Bridge,112,43,16,29,63,116,385,944,2046,1444,1151,1373,1753,2011,1763,1942,2223,3195,2143,1338,1026,886,772,334,27108,1129.5,1/08/2019
5,Flinders Street Station Underpass,189,64,29,26,46,239,1045,1929,4059,2369,1179,1295,2055,2263,1782,2200,3070,5026,2883,1666,1129,1058,787,488,36876,1536.5,1/08/2019
6,Birrarung Marr,5,,6,1,3,33,123,383,575,288,349,140,341,353,200,172,283,538,349,174,90,56,24,23,4509,196.0434783,1/08/2019
7,Webb Bridge,6,5,5,2,4,35,96,350,522,319,180,197,626,631,311,317,406,645,391,178,115,76,47,26,5490,228.75,1/08/2019
8,Southern Cross Station,16,5,3,6,9,91,543,2317,4169,2887,907,885,1534,1355,940,1402,3152,4330,1900,618,319,136,129,71,27724,1155.166667,1/08/2019
9,Victoria Point,5,4,1,2,8,21,92,381,659,500,305,278,536,518,274,377,660,858,394,180,103,81,47,17,6301,262.5416667,1/08/2019
10,Waterfront City,3,1,1,,1,,17,45,79,54,15,27,96,89,71,56,77,101,65,61,63,57,35,12,1026,46.63636364,1/08/2019
11,New Quay,19,13,7,2,3,16,66,170,355,253,135,190,345,350,239,242,296,451,377,283,230,166,92,32,4332,180.5,1/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
13,Sandridge Bridge,72,37,10,7,38,106,280,736,1349,784,462,586,724,667,655,729,1038,1946,1077,481,437,421,309,249,13200,550,1/08/2019
14,State Library,83,76,42,22,8,33,76,294,739,813,770,1040,1662,1901,1859,1731,1976,2349,2096,1528,1353,1020,557,229,22257,927.375,1/08/2019
15,Collins St (North),43,37,9,14,16,32,143,501,969,1116,1154,1341,2103,2332,1732,1521,1379,1584,1068,492,342,309,219,90,18546,772.75,1/08/2019
16,Collins Place (South),20,12,9,5,6,89,272,770,1921,1524,879,717,1557,1562,938,827,838,1213,755,392,229,153,151,124,14963,623.4583333,1/08/2019
17,Collins Place (North),9,9,4,,1,39,221,767,1671,961,569,404,601,631,574,570,1038,1708,748,252,144,90,91,72,11174,485.826087,1/08/2019
18,Chinatown-Swanston St (North),72,63,40,11,5,30,46,112,172,168,319,571,1073,1074,882,780,968,1115,1365,1231,1089,810,534,285,12815,533.9583333,1/08/2019
19,Chinatown-Lt Bourke St (South),77,60,39,33,12,19,22,80,191,181,192,359,776,735,523,464,527,677,1358,1402,881,879,579,340,10406,433.5833333,1/08/2019
20,Bourke St-Russell St (West),203,140,80,29,19,45,76,144,339,326,529,727,1526,1411,1105,994,944,1324,1310,1052,958,865,630,377,15153,631.375,1/08/2019
21,Flinders St-Elizabeth St (East),246,126,101,102,56,165,685,1589,2911,2042,1776,2110,2923,3281,2892,3267,3807,5066,3770,2677,2191,1620,1248,857,45508,1896.166667,1/08/2019
22,Spencer St-Collins St (South),46,21,6,16,6,50,238,711,1508,874,517,587,986,1061,591,549,851,1242,612,321,220,227,162,90,11492,478.8333333,1/08/2019
23,Spencer St-Collins St (North),116,57,25,20,44,346,1105,2343,4386,3025,1611,1675,2343,2510,2054,2631,3829,5035,2898,1483,1068,890,643,353,40490,1687.083333,1/08/2019
24,Melbourne Convention Exhibition Centre,24,16,21,4,18,48,240,554,971,549,398,564,866,957,933,1056,1248,1547,1280,502,341,362,273,212,12984,541,1/08/2019
25,QV Market-Elizabeth St (West),109,118,58,62,31,81,131,320,757,859,1052,1216,1735,1717,1217,807,839,1018,832,623,589,530,321,169,15191,632.9583333,1/08/2019
26,QV Market-Peel St,21,,2,4,2,14,25,104,207,213,177,201,263,315,229,186,212,259,189,158,98,123,49,67,3118,135.5652174,1/08/2019
27,The Arts Centre,53,18,5,35,51,84,305,838,1826,1284,1055,1375,1653,1884,1582,1519,1753,2280,1519,972,519,442,595,113,21760,906.6666667,1/08/2019
28,St Kilda Rd-Alexandra Gardens,9,11,18,5,2,19,90,188,287,107,48,308,477,541,445,520,507,650,349,262,166,62,84,37,5192,216.3333333,1/08/2019
29,Lonsdale St (South),155,118,85,37,25,44,71,150,330,273,364,532,997,1003,742,702,735,1066,1079,871,854,694,548,319,11794,491.4166667,1/08/2019
30,Lygon St (West),40,17,4,7,15,14,43,76,158,160,139,189,297,295,250,230,212,331,420,404,335,335,217,72,4260,177.5,1/08/2019
31,City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,1/08/2019
32,Flinders St-Spring St (West),12,3,4,,3,16,71,256,552,431,211,203,321,325,235,249,424,564,299,118,79,60,83,21,4540,197.3913043,1/08/2019
33,Flinders St-Spark La,16,8,2,2,5,33,50,162,372,250,161,186,280,329,210,227,268,344,195,102,71,63,63,33,3432,143,1/08/2019
34,Southbank,93,48,33,16,11,106,677,914,1805,1001,746,879,2059,2102,1221,1392,1476,2521,1719,1288,905,736,491,261,22500,937.5,1/08/2019
35,Queen St (West),28,14,8,5,5,30,81,250,689,533,522,517,1017,971,669,507,601,739,512,305,256,204,152,73,8688,362,1/08/2019
36,Lygon St (East),8,13,2,4,15,8,18,38,93,105,107,153,289,288,221,152,196,235,238,267,220,150,120,36,2976,124,1/08/2019
37,Alfred Place,11,10,2,2,11,17,103,347,824,777,543,587,1480,1370,617,519,625,747,395,211,140,96,62,46,9542,397.5833333,1/08/2019
38,Lonsdale St-Spring St (West),20,4,4,5,10,18,94,276,872,660,585,601,975,913,584,572,464,725,547,349,196,141,329,74,9018,375.75,1/08/2019
